Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
69,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
70,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4
77,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
82,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
83,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,4
87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
91,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,5
94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4
98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
101,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
102,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
108,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
109,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
115,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
122,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
123,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
130,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3
131,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4
132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
133,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
136,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
137,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
138,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,5
139,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
140,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
141,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
143,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3
144,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
145,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
146,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
152,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
153,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
163,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
164,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
165,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
174,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
177,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,5
183,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
184,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
187,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
188,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
196,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
197,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
199,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
205,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
206,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
207,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
209,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
214,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
215,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
216,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
217,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
219,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
222,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
228,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
229,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
232,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
239,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
240,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
241,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
242,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
244,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
245,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
249,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
251,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
252,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
254,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
255,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
256,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
257,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
258,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
259,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
260,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4
266,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
268,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
272,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
273,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
274,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
277,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
278,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
281,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
282,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
285,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
287,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
291,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
298,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
299,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
301,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
302,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
303,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
309,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
312,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
313,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
319,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
323,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
324,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
325,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
326,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
327,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
328,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
329,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
330,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
337,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
341,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
342,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
343,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
344,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
345,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
355,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4
356,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
361,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
362,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
363,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
366,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
367,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
370,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
378,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
379,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
380,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
383,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
384,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
390,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
391,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
392,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
393,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
395,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
398,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
399,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
400,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
401,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
402,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
406,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4
