Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
8139,1,1,1,45,2,22.500000
8140,2,1,1,42,4,10.500000
8141,1,1,1,52,3,17.333333
8142,0,0,0,33,3,11.000000
8143,1,1,1,29,3,9.666667
8144,0,0,0,21,4,5.250000
8145,0,0,0,33,3,11.000000
8146,0,1,1,54,4,13.500000
8147,2,1,1,60,5,12.000000
8148,1,0,0,21,2,10.500000
8149,1,2,2,80,4,20.000000
8150,1,0,0,45,4,11.250000
8151,1,1,1,23,3,7.666667
8152,1,0,0,26,3,8.666667
8153,2,1,2,57,3,19.000000
8154,0,0,0,49,4,12.250000
8155,2,1,1,48,5,9.600000
8156,1,1,1,58,5,11.600000
8157,1,1,1,59,4,14.750000
8158,1,1,0,54,4,13.500000
8159,0,0,0,29,2,14.500000
8160,1,1,1,24,2,12.000000
8161,1,1,1,34,3,11.333333
8162,1,2,1,55,4,13.750000
8163,1,0,0,13,2,6.500000
8164,1,1,1,42,3,14.000000
8165,1,1,1,56,4,14.000000
8166,1,2,2,66,3,22.000000
8167,0,0,0,31,4,7.750000
8168,1,0,0,51,3,17.000000
8169,1,1,1,38,3,12.666667
8170,0,0,1,27,4,6.750000
8171,1,1,1,55,5,11.000000
8172,1,1,1,48,3,16.000000
8173,1,1,1,38,4,9.500000
8174,1,1,1,33,3,11.000000
8175,1,1,1,40,3,13.333333
8176,2,1,2,56,6,9.333333
8177,1,0,1,58,4,14.500000
8178,1,1,0,61,4,15.250000
8179,2,1,2,59,4,14.750000
8180,1,0,0,38,3,12.666667
8181,0,1,0,53,3,17.666667
8182,2,1,1,46,5,9.200000
8183,2,2,2,64,6,10.666667
8184,1,1,0,52,4,13.000000
8185,0,0,0,24,2,12.000000
8186,1,0,1,36,2,18.000000
8187,2,1,2,54,3,18.000000
8188,1,1,1,65,5,13.000000
8189,0,0,0,36,2,18.000000
8190,0,1,1,57,5,11.400000
8191,1,1,1,42,3,14.000000
8192,1,0,0,28,2,14.000000
8193,1,1,1,55,3,18.333333
8194,1,1,1,51,5,10.200000
8195,1,0,0,31,4,7.750000
8196,1,2,1,61,4,15.250000
8197,1,2,2,62,5,12.400000
8198,1,1,1,41,3,13.666667
8199,1,1,1,57,5,11.400000
8200,1,1,1,43,4,10.750000
8201,0,0,0,44,4,11.000000
8202,1,1,1,63,4,15.750000
8203,1,0,2,69,4,17.250000
8204,1,1,1,65,3,21.666667
8205,0,1,0,34,3,11.333333
8206,0,0,0,45,4,11.250000
8207,1,1,1,69,4,17.250000
8208,0,0,2,65,4,16.250000
8209,1,0,0,34,3,11.333333
8210,0,0,0,27,2,13.500000
8211,1,1,1,40,3,13.333333
8212,1,1,1,64,4,16.000000
8213,2,1,1,59,4,14.750000
8214,2,1,2,48,4,12.000000
8215,1,1,0,24,2,12.000000
8216,1,1,1,43,3,14.333333
8217,1,1,1,34,4,8.500000
8218,0,0,0,35,3,11.666667
8219,1,1,1,56,6,9.333333
8220,0,0,0,32,3,10.666667
8221,0,1,1,54,6,9.000000
8222,2,1,1,40,4,10.000000
8223,1,1,1,25,2,12.500000
8224,1,1,1,68,6,11.333333
8225,0,0,0,18,2,9.000000
8226,2,1,1,50,2,25.000000
8227,1,1,1,28,3,9.333333
8228,1,1,1,54,3,18.000000
8229,0,0,0,29,4,7.250000
8230,0,0,1,23,3,7.666667
8231,0,0,0,15,2,7.500000
8232,0,1,0,34,3,11.333333
8233,1,1,1,28,3,9.333333
8234,0,0,0,28,2,14.000000
8235,1,1,1,37,3,12.333333
8236,0,1,0,38,4,9.500000
8237,1,0,1,28,2,14.000000
8238,1,1,1,45,4,11.250000
8239,1,1,0,21,2,10.500000
8240,1,2,1,69,5,13.800000
8241,1,1,1,53,4,13.250000
8242,1,1,1,54,5,10.800000
8243,1,1,1,43,3,14.333333
8244,1,1,1,23,3,7.666667
8245,1,1,1,18,2,9.000000
8246,1,0,0,16,2,8.000000
8247,1,1,1,58,5,11.600000
8248,1,1,1,48,2,24.000000
8249,0,1,1,36,3,12.000000
8250,0,0,0,47,3,15.666667
8251,2,1,1,37,3,12.333333
8252,0,0,0,32,4,8.000000
8253,0,0,0,20,2,10.000000
8254,1,1,1,40,2,20.000000
8255,2,1,1,30,3,10.000000
8256,1,1,1,49,2,24.500000
8257,1,2,2,76,6,12.666667
8258,2,1,1,44,3,14.666667
8259,1,1,2,46,3,15.333333
8260,1,1,1,57,4,14.250000
8261,1,1,1,34,3,11.333333
8262,2,1,1,85,6,14.166667
8263,0,0,0,26,3,8.666667
8264,0,0,0,29,3,9.666667
8265,1,1,1,38,4,9.500000
8266,0,0,0,37,4,9.250000
8267,2,1,1,53,4,13.250000
8268,1,1,0,48,3,16.000000
8269,1,0,0,24,2,12.000000
8270,0,0,1,51,3,17.000000
8271,0,1,1,45,4,11.250000
8272,0,0,0,19,3,6.333333
8273,1,1,1,45,4,11.250000
8274,1,1,1,39,4,9.750000
8275,1,0,1,70,3,23.333333
8276,0,0,0,36,3,12.000000
8277,0,1,1,26,3,8.666667
8278,1,1,2,65,3,21.666667
8279,1,1,1,41,3,13.666667
8280,2,1,2,61,4,15.250000
8281,2,2,2,81,4,20.250000
8282,1,2,1,49,3,16.333333
8283,2,2,2,61,4,15.250000
8284,1,0,1,30,3,10.000000
8285,1,1,1,32,3,10.666667
8286,1,1,1,56,5,11.200000
8287,1,0,0,42,3,14.000000
8288,1,1,1,52,3,17.333333
8289,1,1,1,52,3,17.333333
8290,1,1,1,30,2,15.000000
8291,1,2,1,53,4,13.250000
8292,1,1,0,77,7,11.000000
8293,1,1,0,23,2,11.500000
8294,0,0,0,18,2,9.000000
8295,1,1,1,48,3,16.000000
8296,1,1,1,48,3,16.000000
8297,1,1,1,34,3,11.333333
8298,1,1,1,55,4,13.750000
8299,2,1,2,52,4,13.000000
8300,2,2,2,67,7,9.571429
8301,0,0,0,22,2,11.000000
8302,1,1,1,34,3,11.333333
8303,0,0,0,16,4,4.000000
8304,1,1,1,55,4,13.750000
8306,0,0,0,16,2,8.000000
8307,1,1,1,55,4,13.750000
8308,1,1,1,50,3,16.666667
8309,1,1,1,44,3,14.666667
8310,0,0,0,18,3,6.000000
8311,1,1,1,45,3,15.000000
8312,0,0,0,28,3,9.333333
8313,0,0,1,83,6,13.833333
8314,2,1,1,55,3,18.333333
8315,0,0,0,32,3,10.666667
8316,0,1,0,50,7,7.142857
8317,2,2,2,47,4,11.750000
8318,0,0,1,47,3,15.666667
8319,2,2,2,76,4,19.000000
8320,1,1,1,42,3,14.000000
8321,0,1,1,55,5,11.000000
8322,1,1,0,30,3,10.000000
8323,0,0,0,51,3,17.000000
8324,0,0,0,37,3,12.333333
8325,1,0,0,33,4,8.250000
8326,1,1,1,17,2,8.500000
8327,0,2,2,41,3,13.666667
8328,1,1,1,46,3,15.333333
8329,1,1,1,44,4,11.000000
8330,1,1,1,21,3,7.000000
8331,0,0,0,52,5,10.400000
8332,1,0,0,38,3,12.666667
8333,1,1,1,74,3,24.666667
8334,1,0,0,31,2,15.500000
8335,0,1,1,48,4,12.000000
8336,0,0,0,44,2,22.000000
8337,0,1,0,54,6,9.000000
8338,0,0,0,34,2,17.000000
8339,1,2,1,55,4,13.750000
8340,1,1,1,30,2,15.000000
8341,1,1,1,39,3,13.000000
8342,1,2,1,46,4,11.500000
8343,1,1,1,58,5,11.600000
8344,1,2,1,57,4,14.250000
8345,1,1,1,57,3,19.000000
8346,1,1,1,33,3,11.000000
8347,1,1,1,65,5,13.000000
8348,1,1,1,38,3,12.666667
8349,1,1,1,55,4,13.750000
8350,0,0,0,30,3,10.000000
8351,0,0,0,8,2,4.000000
8352,1,1,1,27,2,13.500000
8353,0,0,0,33,2,16.500000
8354,1,1,1,45,3,15.000000
8355,0,0,0,8,2,4.000000
8356,1,1,2,48,4,12.000000
8357,1,1,0,34,3,11.333333
8358,0,0,0,16,3,5.333333
8359,0,1,1,30,3,10.000000
8360,1,1,1,42,3,14.000000
8361,1,2,2,60,5,12.000000
8362,1,1,1,46,2,23.000000
8363,0,0,0,68,4,17.000000
8364,2,1,1,51,5,10.200000
8365,0,0,1,26,3,8.666667
8366,1,1,1,26,2,13.000000
8367,1,1,2,42,3,14.000000
8368,1,1,1,23,2,11.500000
8369,1,1,1,45,4,11.250000
8370,1,1,1,45,3,15.000000
8371,0,0,0,16,2,8.000000
8372,1,2,2,59,6,9.833333
8373,1,1,1,55,4,13.750000
8374,1,1,1,27,4,6.750000
8375,0,1,0,44,4,11.000000
8376,2,2,2,83,4,20.750000
8377,0,0,0,6,2,3.000000
8378,0,0,0,33,2,16.500000
8379,2,2,2,83,5,16.600000
8380,0,0,0,22,2,11.000000
8381,1,0,0,53,4,13.250000
8382,1,1,1,40,4,10.000000
8383,1,0,1,29,3,9.666667
8384,0,0,0,27,3,9.000000
8385,0,1,0,35,3,11.666667
8386,0,0,0,7,2,3.500000
8387,1,1,1,47,3,15.666667
8388,1,1,1,50,4,12.500000
8389,1,1,1,52,3,17.333333
8390,1,1,0,36,3,12.000000
8391,1,1,1,35,2,17.500000
8392,1,0,0,37,3,12.333333
8393,0,0,0,47,5,9.400000
8394,1,1,1,36,4,9.000000
8395,0,1,0,32,3,10.666667
8396,0,0,0,20,2,10.000000
8397,0,0,0,35,3,11.666667
8398,1,2,2,54,4,13.500000
8399,0,0,0,25,2,12.500000
8400,0,0,0,40,3,13.333333
8401,1,1,1,46,5,9.200000
8402,0,1,0,54,4,13.500000
8403,1,2,2,47,4,11.750000
8404,1,1,0,49,2,24.500000
8405,0,0,0,6,2,3.000000
8406,0,0,1,17,2,8.500000
8407,2,1,2,67,4,16.750000
8408,0,0,0,32,3,10.666667
8409,1,1,1,28,2,14.000000
8410,1,1,0,30,2,15.000000
8411,1,2,2,71,4,17.750000
8412,1,1,1,35,3,11.666667
8413,1,0,1,24,2,12.000000
8415,1,1,1,40,3,13.333333
8416,1,1,1,44,5,8.800000
8417,2,1,1,99,5,19.800000
8418,0,1,1,39,4,9.750000
8419,0,0,0,36,4,9.000000
8420,0,0,0,34,4,8.500000
8421,1,2,1,50,5,10.000000
8423,1,0,0,25,2,12.500000
8424,0,0,0,35,3,11.666667
8425,0,0,0,19,2,9.500000
8426,1,1,1,57,3,19.000000
8427,0,0,0,25,2,12.500000
8428,1,2,2,51,4,12.750000
8429,1,1,1,44,3,14.666667
8431,1,2,2,71,3,23.666667
8432,1,0,0,74,6,12.333333
8433,2,1,2,50,5,10.000000
8434,1,1,1,66,4,16.500000
8435,1,1,0,39,3,13.000000
8436,0,0,0,17,2,8.500000
8437,0,0,0,21,2,10.500000
8438,0,0,0,48,3,16.000000
8439,1,1,0,53,6,8.833333
8440,2,1,1,51,3,17.000000
8441,1,0,0,12,2,6.000000
8442,2,1,1,59,4,14.750000
8443,1,1,0,33,3,11.000000
8444,1,1,1,62,4,15.500000
8445,0,0,1,51,5,10.200000
8446,1,1,1,17,2,8.500000
8447,1,0,0,36,3,12.000000
8448,1,0,0,46,3,15.333333
8449,1,0,1,86,7,12.285714
8450,0,0,0,54,5,10.800000
8451,1,1,1,102,3,34.000000
8452,2,1,1,56,5,11.200000
8453,1,0,1,81,4,20.250000
8454,1,1,1,67,4,16.750000
8455,0,0,0,38,2,19.000000
8456,0,0,0,25,2,12.500000
8457,0,0,0,47,3,15.666667
8458,0,0,0,11,2,5.500000
8459,0,0,0,46,4,11.500000
8460,1,1,1,55,4,13.750000
8461,0,0,0,55,3,18.333333
8462,0,0,0,14,2,7.000000
8463,2,2,2,67,6,11.166667
8464,2,1,1,48,4,12.000000
8465,1,1,1,48,4,12.000000
8466,2,1,1,56,5,11.200000
8467,0,0,1,60,6,10.000000
8468,0,0,0,23,2,11.500000
8469,2,1,2,71,3,23.666667
8470,2,2,1,40,3,13.333333
8471,1,0,1,33,3,11.000000
8472,1,1,0,28,3,9.333333
8473,1,2,2,68,3,22.666667
8474,1,1,1,54,3,18.000000
8475,0,1,1,41,3,13.666667
8476,0,0,0,42,3,14.000000
8477,2,1,1,39,3,13.000000
8478,0,1,0,24,2,12.000000
8479,1,2,2,91,6,15.166667
8480,1,0,0,30,2,15.000000
8481,2,1,1,43,3,14.333333
8482,0,1,1,57,6,9.500000
8483,0,0,0,30,3,10.000000
8484,1,1,1,58,5,11.600000
8485,1,0,0,30,4,7.500000
8486,0,1,0,35,3,11.666667
8487,1,1,1,56,4,14.000000
8488,2,1,1,45,4,11.250000
8489,1,1,1,49,2,24.500000
8491,1,1,1,50,4,12.500000
8492,0,0,0,17,3,5.666667
8493,1,1,1,51,3,17.000000
8494,1,1,1,33,2,16.500000
8495,1,1,1,64,3,21.333333
8496,1,1,1,35,2,17.500000
8497,1,1,1,61,5,12.200000
8498,1,0,0,26,2,13.000000
8499,1,1,1,40,4,10.000000
8500,2,1,1,52,3,17.333333
8501,0,1,0,34,3,11.333333
8502,2,1,1,41,6,6.833333
8503,1,1,1,46,4,11.500000
8504,0,0,0,39,2,19.500000
8505,1,2,2,71,6,11.833333
8506,0,0,1,35,3,11.666667
8508,0,1,0,22,3,7.333333
8509,0,0,0,31,4,7.750000
8510,0,0,0,39,3,13.000000
8511,2,2,2,68,3,22.666667
8512,1,1,1,37,3,12.333333
8513,1,1,1,35,2,17.500000
8514,0,0,1,53,4,13.250000
8515,0,0,0,45,3,15.000000
8516,0,0,0,45,5,9.000000
8517,0,0,1,50,4,12.500000
8518,1,0,0,51,5,10.200000
8519,0,0,0,11,2,5.500000
8521,1,1,1,19,2,9.500000
8522,0,0,0,16,2,8.000000
8523,1,0,1,58,4,14.500000
8524,0,1,1,60,3,20.000000
8525,1,1,1,36,2,18.000000
8526,2,2,2,72,5,14.400000
8527,0,0,0,27,1,27.000000
8528,0,1,0,27,3,9.000000
8529,0,1,1,56,5,11.200000
8530,1,1,1,32,2,16.000000
8531,1,1,1,39,3,13.000000
8532,1,1,1,36,3,12.000000
8533,1,1,1,41,2,20.500000
8534,0,1,1,44,4,11.000000
8535,1,0,0,18,3,6.000000
8536,1,1,0,28,2,14.000000
8537,1,1,2,64,4,16.000000
8538,0,0,1,60,3,20.000000
8539,2,2,1,62,3,20.666667
8540,1,1,1,44,3,14.666667
8541,1,1,1,37,3,12.333333
8542,1,1,1,54,4,13.500000
8543,2,1,1,56,5,11.200000
8544,1,1,1,39,3,13.000000
8545,0,0,0,47,4,11.750000
8546,1,2,2,80,5,16.000000
8547,0,0,1,44,3,14.666667
8548,1,1,1,75,5,15.000000
8549,0,0,0,12,2,6.000000
8550,2,1,2,77,6,12.833333
8551,1,1,1,39,4,9.750000
8552,1,2,2,70,6,11.666667
8553,1,1,1,52,4,13.000000
8554,0,0,0,22,2,11.000000
8555,0,0,1,30,2,15.000000
8556,0,0,0,39,4,9.750000
8557,0,0,0,36,4,9.000000
8558,1,1,1,33,2,16.500000
8559,1,1,1,43,4,10.750000
8560,1,0,1,64,7,9.142857
8561,1,1,2,61,4,15.250000
8562,0,1,2,50,3,16.666667
8563,0,0,0,37,4,9.250000
8564,1,1,2,63,4,15.750000
8565,1,1,1,48,4,12.000000
8566,1,1,1,60,4,15.000000
8567,1,1,1,33,3,11.000000
8568,0,0,0,53,4,13.250000
8569,0,0,0,63,5,12.600000
8570,0,0,0,9,2,4.500000
8571,0,0,0,23,2,11.500000
8572,1,1,0,34,2,17.000000
8573,1,2,2,63,4,15.750000
8574,1,1,1,51,3,17.000000
8575,0,0,0,16,2,8.000000
8577,2,2,2,75,7,10.714286
8578,1,0,1,50,5,10.000000
8579,2,1,1,53,4,13.250000
8580,2,2,1,59,4,14.750000
8581,2,1,1,42,4,10.500000
8582,0,1,1,53,4,13.250000
8583,1,0,0,40,5,8.000000
8584,0,1,1,52,7,7.428571
8585,0,0,0,30,2,15.000000
8586,0,1,1,51,2,25.500000
8587,1,1,1,42,3,14.000000
8588,1,1,1,66,3,22.000000
8589,1,2,1,53,6,8.833333
8590,0,0,0,30,3,10.000000
8591,1,1,1,60,5,12.000000
8592,0,0,1,63,5,12.600000
8593,0,0,1,34,4,8.500000
8594,1,1,1,45,2,22.500000
8595,0,0,1,45,3,15.000000
8596,1,1,1,25,3,8.333333
8597,1,0,0,23,2,11.500000
8598,2,1,1,63,4,15.750000
8599,1,1,1,32,4,8.000000
8600,2,1,1,48,4,12.000000
8601,1,1,1,27,3,9.000000
8602,1,1,1,39,3,13.000000
8603,1,1,1,45,4,11.250000
8604,1,1,2,40,2,20.000000
8605,1,1,1,26,2,13.000000
8606,1,1,0,24,2,12.000000
8607,1,1,1,41,2,20.500000
8608,1,1,1,65,5,13.000000
8609,0,0,0,23,4,5.750000
8610,1,1,2,65,4,16.250000
8611,0,0,0,31,3,10.333333
8612,0,0,0,42,3,14.000000
8613,2,1,1,51,4,12.750000
8614,1,1,1,26,3,8.666667
8615,1,2,1,67,2,33.500000
8616,0,0,0,29,2,14.500000
8617,0,0,0,37,3,12.333333
8618,0,0,0,11,2,5.500000
8619,1,0,0,37,4,9.250000
8620,1,1,1,45,3,15.000000
8621,2,1,1,56,5,11.200000
8622,0,1,0,11,2,5.500000
8623,1,1,1,49,4,12.250000
8624,1,2,1,48,2,24.000000
8625,0,1,1,35,3,11.666667
8626,1,1,1,32,3,10.666667
8627,2,1,1,41,4,10.250000
8628,2,1,1,68,6,11.333333
8629,2,2,1,57,4,14.250000
8630,1,1,1,48,3,16.000000
8631,1,0,0,26,2,13.000000
8632,1,0,0,33,3,11.000000
8633,0,1,0,60,3,20.000000
8634,1,0,0,38,3,12.666667
8635,0,0,0,53,6,8.833333
8636,1,2,1,39,4,9.750000
8637,1,1,1,42,2,21.000000
8638,1,1,0,33,4,8.250000
8639,1,1,0,55,4,13.750000
8640,0,0,0,21,2,10.500000
8641,0,1,0,30,3,10.000000
8642,1,0,0,40,3,13.333333
8643,1,1,1,58,4,14.500000
8644,0,0,0,28,3,9.333333
8645,1,1,0,52,4,13.000000
8646,0,0,0,8,2,4.000000
8647,0,1,1,34,2,17.000000
8648,0,0,0,14,2,7.000000
8649,1,1,1,31,3,10.333333
8650,0,0,0,11,2,5.500000
8651,0,0,1,60,5,12.000000
8652,0,0,0,20,2,10.000000
8653,1,0,1,67,5,13.400000
8654,1,1,0,38,3,12.666667
8655,1,1,1,45,3,15.000000
8656,1,0,0,29,2,14.500000
8657,0,0,0,54,4,13.500000
8658,1,1,1,48,4,12.000000
8659,1,0,1,34,4,8.500000
8660,1,1,1,56,4,14.000000
8661,0,0,0,75,7,10.714286
8662,0,0,1,43,7,6.142857
8663,1,0,0,33,2,16.500000
8664,1,1,0,32,3,10.666667
8665,0,0,0,57,4,14.250000
8666,1,1,1,47,4,11.750000
8667,1,0,0,35,3,11.666667
8668,1,1,1,48,3,16.000000
8669,0,0,0,31,3,10.333333
8670,1,2,1,66,4,16.500000
8671,1,2,2,73,5,14.600000
8673,0,1,1,48,4,12.000000
8674,1,1,1,49,3,16.333333
8675,2,1,2,42,3,14.000000
8676,0,0,0,42,4,10.500000
8677,0,0,0,24,3,8.000000
8678,1,0,0,38,3,12.666667
8679,0,0,0,35,3,11.666667
8680,0,0,0,25,3,8.333333
8681,1,1,1,77,5,15.400000
8682,0,0,1,11,2,5.500000
8683,1,1,1,46,5,9.200000
8684,1,1,0,16,2,8.000000
8685,0,0,0,10,2,5.000000
8686,1,1,1,58,6,9.666667
8687,1,0,0,34,3,11.333333
8688,0,1,1,49,3,16.333333
8689,1,1,1,40,4,10.000000
8690,0,0,0,28,2,14.000000
8691,0,0,0,39,5,7.800000
8692,1,1,1,33,2,16.500000
8693,1,1,1,32,3,10.666667
8694,1,1,1,54,4,13.500000
8695,1,1,1,50,7,7.142857
8696,0,0,0,35,3,11.666667
8697,0,0,1,37,4,9.250000
8698,1,2,2,52,4,13.000000
8699,1,0,0,19,3,6.333333
8700,0,0,0,45,3,15.000000
8701,1,1,1,39,3,13.000000
8702,1,1,0,31,2,15.500000
8703,2,2,2,65,4,16.250000
8704,0,0,0,26,3,8.666667
8705,1,1,0,27,2,13.500000
8707,2,1,1,53,3,17.666667
8708,0,0,0,36,3,12.000000
8709,0,0,0,54,2,27.000000
8710,1,1,1,19,2,9.500000
8711,1,1,1,71,5,14.200000
8712,2,1,1,48,4,12.000000
8713,1,1,1,64,4,16.000000
8714,1,0,0,31,2,15.500000
8715,0,0,0,21,2,10.500000
8716,2,1,1,54,4,13.500000
8717,1,1,1,74,6,12.333333
8718,2,1,1,54,3,18.000000
8719,1,0,1,25,4,6.250000
8720,0,0,0,14,2,7.000000
8721,1,1,1,58,4,14.500000
8722,0,1,0,53,4,13.250000
8723,0,0,1,53,5,10.600000
8724,0,0,0,15,3,5.000000
8725,1,1,2,52,4,13.000000
8726,0,1,1,57,4,14.250000
8727,1,1,1,48,3,16.000000
8728,1,1,1,61,4,15.250000
8729,1,1,1,45,4,11.250000
8730,0,0,0,28,3,9.333333
8731,2,1,1,41,3,13.666667
8732,0,0,1,54,5,10.800000
8733,1,1,1,37,2,18.500000
8734,0,1,1,41,3,13.666667
8735,0,0,0,35,3,11.666667
8736,1,1,1,42,2,21.000000
8737,1,1,1,34,2,17.000000
8738,1,1,1,38,2,19.000000
8739,0,0,0,12,2,6.000000
8740,1,2,2,61,4,15.250000
8741,0,0,0,35,3,11.666667
8742,2,1,2,63,6,10.500000
8743,1,2,2,74,4,18.500000
8744,1,1,1,23,2,11.500000
8745,1,0,0,50,5,10.000000
8746,1,1,1,48,3,16.000000
8747,0,0,0,27,3,9.000000
8748,2,1,1,50,2,25.000000
8749,1,1,1,48,4,12.000000
8750,0,0,0,48,4,12.000000
8751,0,0,0,47,4,11.750000
8752,0,0,0,34,2,17.000000
8753,0,0,0,21,2,10.500000
8755,2,0,1,28,2,14.000000
8756,0,1,1,55,5,11.000000
8757,1,0,0,56,4,14.000000
8758,0,1,1,64,5,12.800000
8759,1,1,1,47,4,11.750000
8760,1,1,1,63,4,15.750000
8761,1,1,2,59,3,19.666667
8762,0,1,1,29,2,14.500000
8763,0,0,0,15,2,7.500000
8764,2,2,2,68,6,11.333333
8765,0,1,1,53,5,10.600000
8766,1,1,1,49,4,12.250000
8767,0,0,0,28,3,9.333333
8768,0,1,1,54,5,10.800000
8769,1,1,1,60,5,12.000000
8770,0,0,0,18,2,9.000000
8771,1,2,2,63,3,21.000000
8772,1,1,1,39,4,9.750000
8773,2,1,1,55,3,18.333333
8774,1,1,1,49,4,12.250000
8775,1,0,0,24,3,8.000000
8776,0,0,0,52,5,10.400000
8777,1,0,1,40,3,13.333333
8778,1,1,1,41,4,10.250000
8779,1,0,0,56,5,11.200000
8780,1,1,0,27,2,13.500000
8781,1,1,1,53,5,10.600000
8782,1,1,1,41,3,13.666667
8783,1,1,1,44,4,11.000000
8784,0,1,1,30,3,10.000000
8785,1,1,1,48,4,12.000000
8786,0,0,0,27,3,9.000000
8787,1,1,1,32,2,16.000000
8788,1,1,1,57,4,14.250000
8789,0,0,0,27,2,13.500000
8790,1,0,1,24,2,12.000000
8791,0,0,0,9,2,4.500000
8792,1,0,1,44,4,11.000000
8793,1,0,1,36,4,9.000000
8794,1,2,2,69,6,11.500000
8795,1,1,1,47,3,15.666667
8797,0,0,0,23,3,7.666667
8798,1,1,1,84,5,16.800000
8799,1,1,1,20,2,10.000000
8800,0,1,0,44,3,14.666667
8801,0,0,1,33,4,8.250000
8802,1,1,1,40,5,8.000000
8803,0,0,0,20,2,10.000000
8804,0,0,1,25,2,12.500000
8805,1,0,0,21,2,10.500000
8806,0,1,1,46,3,15.333333
8807,0,0,0,31,2,15.500000
8808,1,1,1,26,3,8.666667
8809,1,1,1,59,2,29.500000
8810,1,1,1,39,3,13.000000
8811,1,1,1,50,4,12.500000
8812,0,1,1,37,4,9.250000
8813,0,0,0,20,3,6.666667
8814,0,0,0,6,2,3.000000
8815,0,0,0,22,2,11.000000
8816,0,1,1,36,4,9.000000
8817,0,0,0,22,2,11.000000
8818,1,2,2,76,5,15.200000
8819,1,1,1,54,5,10.800000
8820,1,1,1,54,2,27.000000
8821,1,1,1,69,5,13.800000
8822,1,1,1,39,3,13.000000
8823,0,1,1,40,3,13.333333
8824,0,0,0,10,2,5.000000
8825,0,0,0,32,2,16.000000
8826,1,1,0,26,3,8.666667
8827,1,1,1,43,2,21.500000
8828,1,1,1,35,3,11.666667
8829,1,1,1,58,4,14.500000
8830,0,0,0,14,2,7.000000
8831,0,0,0,14,2,7.000000
8832,0,1,1,56,6,9.333333
8833,1,0,1,21,2,10.500000
8834,1,0,1,64,6,10.666667
8835,1,0,1,38,2,19.000000
8836,1,0,0,24,2,12.000000
8837,2,1,2,77,6,12.833333
8838,0,0,0,31,4,7.750000
8839,1,2,2,61,6,10.166667
8840,1,1,1,76,7,10.857143
8841,1,1,1,43,5,8.600000
8842,0,1,1,48,4,12.000000
8843,1,1,1,40,3,13.333333
8844,0,0,0,33,5,6.600000
8845,0,0,0,29,5,5.800000
8846,1,1,1,46,4,11.500000
8847,1,1,1,49,3,16.333333
8848,0,0,0,29,3,9.666667
8849,1,1,1,34,4,8.500000
8850,1,1,1,43,4,10.750000
8851,2,1,1,25,3,8.333333
8852,1,1,1,35,2,17.500000
8853,1,1,1,49,5,9.800000
8854,1,1,1,63,4,15.750000
8855,1,1,0,65,6,10.833333
