Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
2847,1,0,0,0,0,0,0,0,0,0,0,1
2848,1,0,1,0,1,0,0,0,0,0,1,3
2849,1,0,1,0,1,1,0,0,0,0,2,4
2850,0,0,0,0,0,0,0,0,0,0,0,0
2851,1,0,0,0,0,0,0,0,0,0,0,1
2852,0,1,0,0,0,1,0,1,0,0,2,3
2853,1,0,0,0,0,0,1,1,0,0,2,3
2854,1,0,0,0,1,0,0,1,0,0,2,3
2855,0,0,0,0,0,0,0,0,0,0,0,0
2856,1,0,1,0,0,0,0,1,0,0,1,3
2857,1,0,0,0,1,1,0,0,0,0,2,3
2858,1,0,0,0,0,1,0,0,0,0,1,2
2859,1,0,0,0,0,1,1,0,0,0,2,3
2860,1,0,0,0,1,0,0,0,0,0,1,2
2861,1,0,0,0,1,0,0,0,0,0,1,2
2862,0,0,1,0,0,0,0,0,0,0,0,1
2863,1,0,0,0,1,0,0,0,0,0,1,2
2864,0,0,0,0,0,1,0,0,0,0,1,1
2865,0,0,0,0,0,0,0,0,0,0,0,0
2866,0,0,0,0,1,1,0,0,0,0,2,2
2867,0,0,1,0,0,0,1,0,0,0,1,2
2868,0,0,0,0,1,1,0,0,0,0,2,2
2869,0,0,0,0,0,0,0,0,0,0,0,0
2870,1,0,0,0,0,0,0,0,0,0,0,1
2871,0,0,0,0,1,0,1,0,0,0,2,2
2872,1,0,1,0,1,0,0,0,0,0,1,3
2873,1,0,1,0,0,0,1,0,0,0,1,3
2874,1,0,1,0,0,1,0,1,0,0,2,4
2875,0,0,0,0,1,0,0,0,0,0,1,1
2876,1,0,0,0,0,0,0,0,0,0,0,1
2877,0,0,0,0,0,0,1,0,0,0,1,1
2878,0,0,0,0,0,1,1,0,0,0,2,2
2879,1,0,0,0,0,0,1,1,0,0,2,3
2880,0,0,0,0,1,0,0,0,0,0,1,1
2881,1,0,0,0,1,1,0,0,0,0,2,3
2882,0,0,0,0,0,1,1,0,0,0,2,2
2883,1,0,0,0,0,0,1,0,0,0,1,2
2884,0,0,0,0,1,0,0,1,0,0,2,2
2885,1,0,0,0,1,1,0,0,0,0,2,3
2886,0,0,0,0,0,0,0,0,0,0,0,0
2887,0,0,0,0,1,0,1,1,0,0,3,3
2888,0,0,0,0,0,1,0,0,0,0,1,1
2889,1,0,1,0,0,1,0,1,0,0,2,4
2890,1,1,1,0,0,1,0,0,0,0,1,4
2891,1,0,1,0,0,1,1,0,0,0,2,4
2892,1,0,0,0,0,0,0,0,0,0,0,1
2893,0,0,0,0,0,0,0,0,0,0,0,0
2894,1,0,1,0,1,1,0,0,0,0,2,4
2895,0,0,0,0,1,1,0,0,0,0,2,2
2896,1,0,0,0,0,1,0,1,0,0,2,3
2897,1,0,0,0,1,0,0,0,0,0,1,2
2898,0,0,0,0,1,0,0,0,0,0,1,1
2899,1,0,0,0,0,0,0,0,0,0,0,1
2900,1,0,0,0,0,0,0,0,0,0,0,1
2901,1,0,0,0,1,1,0,0,0,0,2,3
2902,1,0,1,0,1,0,0,0,0,0,1,3
2903,1,0,0,0,0,1,0,0,0,0,1,2
2904,0,0,0,0,1,0,1,1,0,0,3,3
2905,1,0,0,0,0,0,1,0,0,0,1,2
2906,1,0,0,0,0,0,0,0,0,0,0,1
2907,0,0,0,0,1,0,0,0,0,0,1,1
2908,1,0,0,0,1,0,0,0,0,0,1,2
2909,0,0,0,0,1,1,0,0,0,0,2,2
2910,0,0,0,0,0,0,0,0,0,0,0,0
2911,1,0,0,0,0,1,0,1,0,0,2,3
2912,1,0,0,0,0,1,0,1,0,0,2,3
2913,1,0,0,1,0,1,0,0,0,0,1,3
2914,1,0,0,0,1,0,0,1,0,0,2,3
2915,0,0,0,0,0,0,0,0,0,0,0,0
2916,1,0,0,0,0,0,0,0,0,0,0,1
2917,0,0,0,0,1,0,0,0,0,0,1,1
2918,1,0,1,0,1,1,0,0,0,0,2,4
2919,0,0,0,0,1,0,0,0,0,0,1,1
2920,0,0,0,0,0,0,0,0,0,0,0,0
2921,1,0,0,0,0,0,0,0,0,0,0,1
2922,1,1,0,0,1,1,0,0,0,0,2,4
2923,1,0,0,0,0,0,0,0,0,0,0,1
2924,0,1,0,0,0,1,0,1,0,0,2,3
2925,1,0,0,0,1,0,0,0,0,0,1,2
2926,1,0,1,0,0,0,1,1,0,0,2,4
2927,0,0,0,0,0,1,0,0,0,0,1,1
2928,0,0,0,0,0,1,0,1,0,0,2,2
2929,1,0,0,0,0,0,0,0,0,0,0,1
2930,1,0,0,0,1,0,0,0,0,0,1,2
2931,0,0,0,0,1,0,0,0,0,0,1,1
2932,0,0,0,0,0,1,0,0,0,0,1,1
2933,1,1,0,0,0,0,0,0,0,0,0,2
2934,1,0,0,0,0,0,0,0,0,0,0,1
2935,0,1,0,0,1,0,0,0,0,0,1,2
2936,1,0,0,0,1,0,0,0,0,0,1,2
2937,1,1,0,0,1,0,0,0,0,0,1,3
2938,1,0,0,0,0,1,0,0,0,0,1,2
2939,1,0,0,0,0,0,0,1,0,0,1,2
2940,1,1,0,0,1,1,0,0,0,0,2,4
2941,1,0,0,0,0,1,0,0,0,0,1,2
2942,0,0,0,0,1,0,0,0,0,0,1,1
2943,1,0,0,0,1,1,0,0,0,0,2,3
2944,1,0,1,0,1,0,0,0,0,0,1,3
2945,0,0,0,0,1,1,0,0,0,0,2,2
2946,1,0,0,0,0,1,0,1,0,0,2,3
2947,1,0,0,0,1,1,0,0,0,0,2,3
2948,1,0,0,0,0,1,1,0,0,0,2,3
2949,1,0,0,0,0,1,0,1,0,0,2,3
2950,1,0,0,0,1,1,0,0,0,0,2,3
2951,0,0,0,0,0,1,0,0,0,0,1,1
2952,0,0,0,0,0,1,0,0,0,0,1,1
2953,1,0,1,0,0,1,0,0,0,0,1,3
2954,1,0,0,0,1,1,0,0,0,0,2,3
2955,0,0,0,0,1,0,0,0,0,0,1,1
2956,1,0,0,0,0,0,0,0,0,0,0,1
2957,1,0,0,0,0,1,0,0,0,0,1,2
2958,0,0,1,0,1,0,0,0,0,0,1,2
2959,0,0,0,0,1,0,0,0,0,0,1,1
2960,0,1,0,0,1,0,0,1,0,0,2,3
2961,1,0,0,0,0,0,0,0,0,0,0,1
2962,1,0,0,0,0,1,0,1,0,0,2,3
2963,1,0,1,0,0,0,1,0,0,0,1,3
2964,0,0,0,0,1,0,0,0,0,0,1,1
2965,0,0,0,0,0,1,0,0,0,0,1,1
2966,1,0,0,0,1,0,0,1,0,0,2,3
2967,1,0,1,0,0,1,0,1,0,0,2,4
2968,0,0,0,0,0,0,0,0,0,0,0,0
2969,1,0,0,0,1,1,0,0,0,0,2,3
2970,0,0,0,0,0,1,0,0,0,0,1,1
2971,0,0,0,0,0,0,1,0,0,0,1,1
2972,0,0,1,0,0,0,0,0,0,0,0,1
2973,0,0,0,0,1,0,0,0,0,0,1,1
2974,1,1,0,0,1,0,1,0,0,0,2,4
2975,0,0,0,0,0,0,1,0,0,0,1,1
2976,0,0,0,1,0,1,0,0,0,0,1,2
2977,0,0,0,0,1,0,0,0,0,0,1,1
2978,1,0,0,0,1,0,0,0,0,0,1,2
2979,0,0,0,0,1,1,0,0,0,0,2,2
2980,1,0,0,0,0,1,1,0,0,0,2,3
2981,1,0,0,0,1,1,0,0,0,0,2,3
2982,1,0,0,0,1,0,0,0,0,0,1,2
2983,0,0,0,0,0,1,0,1,0,0,2,2
2984,1,0,1,0,1,0,0,0,0,0,1,3
2985,0,0,0,0,1,0,0,1,0,0,2,2
2986,1,0,0,0,0,0,1,0,0,0,1,2
2987,0,0,0,0,1,0,1,0,0,0,2,2
2988,0,0,0,0,1,0,0,0,0,0,1,1
2989,1,0,0,0,1,0,1,0,0,0,2,3
2990,1,0,0,0,0,0,0,0,0,0,0,1
2991,1,0,0,0,1,0,1,0,0,0,2,3
2992,1,0,0,0,1,1,0,0,0,0,2,3
2993,0,0,0,0,0,0,0,0,0,0,0,0
2994,0,0,0,0,0,0,0,0,0,0,0,0
2995,1,0,0,0,0,0,0,0,0,0,0,1
2996,0,0,0,0,0,1,1,0,0,0,2,2
2997,1,0,0,0,0,1,1,0,0,0,2,3
2998,0,0,0,0,0,0,0,0,0,0,0,0
2999,1,0,0,0,1,1,0,0,0,0,2,3
3000,0,0,0,0,1,0,0,0,0,0,1,1
3001,1,0,1,0,0,1,0,0,0,0,1,3
3002,0,0,0,0,0,0,0,0,0,0,0,0
3003,1,0,0,0,1,0,0,0,0,0,1,2
3004,0,0,0,0,0,1,0,0,0,0,1,1
3005,1,0,0,0,0,0,0,0,0,0,0,1
3006,1,0,0,0,0,0,0,0,0,0,0,1
3007,1,1,1,0,0,0,1,1,0,0,2,5
3008,1,0,0,0,1,0,0,0,0,0,1,2
3009,0,0,0,0,1,1,0,0,0,0,2,2
3010,1,0,0,0,1,0,0,0,0,0,1,2
3011,0,1,0,0,1,0,0,0,0,0,1,2
3012,0,1,0,0,1,0,0,1,0,0,2,3
3013,1,0,0,0,0,1,0,1,0,0,2,3
3014,0,0,0,0,1,0,0,0,0,0,1,1
3015,0,0,0,0,0,0,0,0,0,0,0,0
3016,0,0,0,0,0,1,0,0,0,0,1,1
3017,1,0,0,0,1,1,0,0,0,0,2,3
3018,1,0,0,0,0,0,1,1,0,0,2,3
3019,0,0,0,0,0,0,0,0,0,0,0,0
3020,0,0,0,0,0,0,0,0,0,0,0,0
3021,1,0,0,0,1,0,0,0,0,0,1,2
3022,1,0,1,0,0,1,0,1,0,0,2,4
3023,1,0,0,0,0,0,1,1,0,0,2,3
3024,0,0,0,0,0,1,0,1,0,0,2,2
3025,0,0,0,0,1,0,0,0,0,0,1,1
3026,1,0,0,0,1,1,0,0,0,0,2,3
3027,1,0,0,0,0,1,0,1,0,0,2,3
3028,0,1,0,0,1,0,0,0,0,0,1,2
3029,0,0,0,0,1,0,0,1,0,0,2,2
3030,1,0,1,0,1,0,0,0,0,0,1,3
3031,1,0,0,0,0,0,0,0,0,0,0,1
3032,1,0,0,0,0,1,0,0,0,0,1,2
3033,1,0,0,0,0,1,0,0,0,0,1,2
3034,1,1,0,0,1,0,1,0,0,0,2,4
3035,0,0,0,0,1,0,0,0,0,0,1,1
3036,1,0,0,0,1,0,0,1,0,0,2,3
3037,1,0,0,0,0,1,1,0,0,0,2,3
3038,1,0,0,0,1,0,0,1,0,0,2,3
3039,1,0,1,0,0,1,0,0,0,0,1,3
3040,1,0,0,0,1,0,0,1,0,0,2,3
3041,0,0,0,0,0,0,0,0,0,0,0,0
3042,1,1,0,0,0,0,0,0,0,0,0,2
3043,1,0,0,0,1,1,0,0,0,0,2,3
3044,1,0,1,0,0,1,0,0,0,0,1,3
3045,0,0,0,0,0,1,0,0,0,0,1,1
3046,0,0,0,0,0,0,0,0,0,0,0,0
3047,0,0,0,0,0,1,1,0,0,0,2,2
3048,1,0,0,0,0,1,1,0,0,0,2,3
3049,0,1,0,0,0,0,0,0,0,0,0,1
3050,1,0,0,0,0,0,0,0,0,0,0,1
3051,1,0,1,0,1,0,0,0,0,0,1,3
3052,1,0,0,0,0,1,0,0,0,0,1,2
3053,1,0,0,0,0,0,0,1,0,0,1,2
3054,1,0,0,0,1,0,1,0,0,0,2,3
3055,1,0,1,0,0,0,1,1,0,0,2,4
3056,0,0,0,0,1,0,0,1,0,0,2,2
3057,0,0,0,0,0,1,0,0,0,0,1,1
3058,1,0,0,0,0,0,0,1,0,0,1,2
3059,1,0,0,0,0,1,1,0,0,0,2,3
3060,0,0,0,0,1,0,0,0,0,0,1,1
3061,1,0,0,0,1,0,0,0,0,0,1,2
3062,1,0,0,0,0,1,1,1,0,0,3,4
3063,1,0,0,0,1,1,0,0,0,0,2,3
3064,1,0,1,0,0,1,0,0,0,0,1,3
3065,0,0,1,0,0,0,0,0,0,0,0,1
3066,1,0,1,0,0,1,1,0,0,0,2,4
3067,1,0,0,0,1,0,0,1,0,0,2,3
3068,0,1,0,0,0,0,0,0,0,0,0,1
3069,0,1,1,0,1,0,0,1,0,0,2,4
3070,0,0,0,0,0,0,0,0,0,0,0,0
3071,0,0,0,0,0,1,1,1,0,0,3,3
3072,0,0,0,0,0,1,0,0,0,0,1,1
3073,1,0,0,0,0,0,0,0,0,0,0,1
3074,0,0,0,0,0,0,0,1,0,0,1,1
3075,0,0,0,0,1,1,0,0,0,0,2,2
3076,1,0,0,0,0,1,0,1,0,0,2,3
3077,1,0,1,0,1,1,0,1,0,0,3,5
3078,1,0,0,0,0,1,0,0,0,0,1,2
3079,1,0,0,0,0,0,0,0,0,0,0,1
3080,1,0,0,0,1,0,0,0,0,0,1,2
3081,0,1,0,0,1,1,0,0,0,0,2,3
3082,1,0,0,0,1,0,0,1,0,0,2,3
3083,1,0,0,0,0,0,0,1,0,0,1,2
3084,1,1,0,0,1,0,0,0,0,0,1,3
3085,0,1,0,0,0,0,1,0,0,0,1,2
3086,0,0,0,0,0,1,0,0,0,0,1,1
3087,1,0,0,0,0,1,1,1,0,0,3,4
3088,1,0,0,0,0,0,0,0,0,0,0,1
3089,1,0,0,0,1,1,0,0,0,0,2,3
3090,1,0,0,0,0,1,0,1,0,0,2,3
3091,0,0,0,0,1,0,0,0,0,0,1,1
3092,1,0,1,0,1,0,0,0,0,0,1,3
3093,1,0,0,0,1,0,1,0,0,0,2,3
3094,1,0,0,0,0,1,0,0,0,0,1,2
3095,1,0,0,0,1,0,0,0,0,0,1,2
3096,0,0,0,0,0,0,0,0,0,0,0,0
3097,1,0,1,0,1,0,0,0,0,0,1,3
3098,1,0,0,0,1,1,0,1,0,0,3,4
3099,1,0,0,0,1,0,0,0,0,0,1,2
3100,1,0,0,0,0,0,1,0,0,0,1,2
3101,1,0,0,0,0,0,0,1,0,0,1,2
3102,0,0,0,0,1,0,0,1,0,0,2,2
3103,0,0,0,0,0,0,0,0,0,0,0,0
3104,0,0,0,0,0,0,0,1,0,0,1,1
3105,0,0,0,0,0,1,0,0,0,0,1,1
3106,1,0,1,0,1,0,0,1,0,0,2,4
3107,0,0,0,0,1,1,0,0,0,0,2,2
3108,1,0,0,0,0,1,0,0,0,0,1,2
3109,0,0,0,0,0,0,0,0,0,0,0,0
3110,1,0,1,0,1,1,0,1,0,0,3,5
3111,1,0,0,0,0,1,0,0,0,0,1,2
3112,1,0,0,0,1,0,0,0,0,0,1,2
3113,0,1,0,0,1,0,0,0,0,0,1,2
3114,0,0,0,0,0,1,1,0,0,0,2,2
3115,1,0,0,0,0,0,1,1,0,0,2,3
3116,1,0,0,0,1,0,0,1,0,0,2,3
3117,1,0,0,0,0,1,0,0,0,0,1,2
3118,0,0,0,0,0,0,0,0,0,0,0,0
3119,1,0,1,0,0,1,1,1,0,0,3,5
3120,1,0,1,0,0,1,0,0,0,0,1,3
3121,0,0,0,0,1,0,0,0,0,0,1,1
3122,0,1,1,1,0,1,0,1,0,0,2,5
3123,1,0,0,0,0,0,0,0,0,0,0,1
3124,1,0,0,0,0,1,0,1,0,0,2,3
3125,0,0,0,0,0,1,0,1,0,0,2,2
3126,1,0,1,0,1,1,0,0,0,0,2,4
3127,1,0,1,0,0,0,0,0,0,0,0,2
3128,0,0,1,0,0,0,0,0,0,0,0,1
3129,0,0,0,0,1,0,0,1,0,0,2,2
3130,1,0,0,0,0,1,0,0,0,0,1,2
3131,0,0,0,0,0,0,0,1,0,0,1,1
3132,1,0,1,0,0,0,1,0,0,0,1,3
3133,0,0,0,0,1,0,0,0,0,0,1,1
3134,0,1,1,0,0,0,1,1,0,0,2,4
3135,0,0,0,0,0,0,0,0,0,0,0,0
3136,0,0,0,0,1,0,0,0,0,0,1,1
3137,1,0,0,0,0,0,0,0,0,0,0,1
3138,1,0,0,0,1,0,0,0,0,0,1,2
3139,0,1,0,0,0,0,0,0,0,0,0,1
3140,0,0,1,0,1,0,0,0,0,0,1,2
3141,0,0,1,0,0,1,0,0,0,0,1,2
3142,1,0,1,0,0,1,0,0,0,0,1,3
3143,0,0,0,0,0,0,0,0,0,0,0,0
3144,1,0,0,0,0,0,0,0,0,0,0,1
3145,0,0,0,0,1,0,0,0,0,0,1,1
3146,1,0,0,0,1,0,0,1,0,0,2,3
3147,1,0,0,0,0,1,0,0,0,0,1,2
3148,0,0,0,0,0,0,0,0,0,0,0,0
3149,1,0,0,0,0,1,0,0,0,0,1,2
3150,1,0,0,0,1,1,0,0,0,0,2,3
3151,0,0,0,0,0,1,0,0,0,0,1,1
3152,0,0,0,0,1,0,0,0,0,0,1,1
3153,1,0,0,0,1,1,0,0,0,0,2,3
3154,1,0,0,0,0,0,0,0,0,0,0,1
3155,0,0,1,0,1,0,1,1,0,0,3,4
3156,0,0,0,0,1,0,0,0,0,0,1,1
3157,0,0,0,0,1,0,1,1,0,0,3,3
3158,0,0,0,0,0,1,0,1,0,0,2,2
3159,0,0,0,0,0,0,0,0,0,0,0,0
3160,1,0,0,0,0,1,0,1,0,0,2,3
3161,0,0,0,0,0,0,0,0,0,0,0,0
3162,1,0,0,0,0,1,0,0,0,0,1,2
3163,1,0,0,0,0,0,0,1,0,0,1,2
3164,1,0,0,0,0,1,0,1,0,0,2,3
3165,1,0,0,0,1,1,0,0,0,0,2,3
3166,0,0,0,0,0,0,0,0,0,0,0,0
3167,1,0,1,0,1,0,0,0,0,0,1,3
3168,0,0,0,0,1,1,0,0,0,0,2,2
3169,1,0,0,0,0,1,0,1,0,0,2,3
3170,0,0,0,0,1,0,0,0,0,0,1,1
3171,0,1,1,0,1,1,0,0,0,0,2,4
3172,0,0,0,0,0,0,0,0,0,0,0,0
3173,1,1,0,0,0,0,0,0,0,0,0,2
3174,0,1,0,0,0,0,0,0,0,0,0,1
3175,0,0,0,0,0,0,0,0,0,0,0,0
3176,1,0,1,0,0,1,1,1,0,0,3,5
3177,1,0,0,0,1,1,0,1,0,0,3,4
3178,1,0,0,0,0,0,1,1,0,0,2,3
3179,1,0,0,0,1,0,0,0,0,0,1,2
3180,1,0,0,0,0,0,1,1,0,0,2,3
3181,1,0,0,0,0,1,0,0,0,0,1,2
3182,0,0,0,0,0,0,0,0,0,0,0,0
3183,1,0,0,0,1,0,0,0,0,0,1,2
3184,1,0,0,0,0,1,0,0,0,0,1,2
3185,1,0,0,0,1,0,0,1,0,0,2,3
3186,0,0,0,0,0,0,0,0,0,0,0,0
3187,1,0,0,0,1,1,0,0,0,0,2,3
3188,0,0,0,0,1,0,0,0,0,0,1,1
3189,0,0,0,0,0,1,0,0,0,0,1,1
3190,0,1,1,0,1,1,0,0,0,0,2,4
3191,1,0,0,0,1,1,0,0,0,0,2,3
3192,0,0,0,0,0,1,0,0,0,0,1,1
3193,0,0,0,0,1,0,0,0,0,0,1,1
3194,0,0,0,0,0,0,0,0,0,0,0,0
3195,0,1,0,0,1,0,0,1,0,0,2,3
3196,0,0,0,0,0,0,0,0,0,0,0,0
3197,1,0,0,0,0,1,0,0,0,0,1,2
3198,0,0,0,0,0,0,0,1,0,0,1,1
3199,0,0,0,0,0,0,0,0,0,0,0,0
3200,0,1,0,0,0,0,1,1,0,0,2,3
3201,0,0,0,0,0,1,0,0,0,0,1,1
3202,1,0,0,0,0,0,1,1,0,0,2,3
3203,1,0,1,0,1,1,0,0,0,0,2,4
3204,0,0,0,0,0,0,0,0,0,0,0,0
3205,1,0,0,0,1,1,0,0,0,0,2,3
3206,0,1,0,0,1,0,0,1,0,0,2,3
3207,0,1,0,0,0,0,1,0,0,0,1,2
3208,1,0,1,0,1,0,0,0,0,0,1,3
3209,0,0,0,0,1,0,0,0,0,0,1,1
3210,0,0,0,0,0,0,0,0,0,0,0,0
3211,1,0,0,0,0,1,0,0,0,0,1,2
3212,1,0,0,0,1,0,1,0,0,0,2,3
3213,1,1,0,0,0,1,1,0,0,0,2,4
3214,0,0,0,0,0,0,0,0,0,0,0,0
3215,1,0,1,0,0,0,0,1,0,0,1,3
3216,1,0,0,0,1,0,0,0,0,0,1,2
3217,1,0,0,0,1,0,0,0,0,0,1,2
3218,1,0,1,0,1,0,0,0,0,0,1,3
3219,1,0,0,0,0,1,0,0,0,0,1,2
3220,0,0,0,0,0,1,0,0,0,0,1,1
3221,1,0,0,0,0,0,0,1,0,0,1,2
3222,1,1,1,0,0,0,0,0,0,0,0,3
3223,1,1,1,0,0,0,1,1,0,0,2,5
3224,1,0,0,0,1,0,0,0,0,0,1,2
3225,1,0,0,0,0,1,0,0,0,0,1,2
3226,1,0,0,0,0,1,0,1,0,0,2,3
3227,1,0,1,0,0,0,0,0,0,0,0,2
3228,0,0,0,0,1,0,0,0,0,0,1,1
3229,0,0,0,0,1,0,0,0,0,0,1,1
3230,0,0,0,0,0,1,0,0,0,0,1,1
3231,1,0,0,0,0,1,0,0,0,0,1,2
3232,0,0,1,0,1,1,0,0,0,0,2,3
3233,1,0,0,0,0,0,0,0,0,0,0,1
3234,1,0,0,0,1,0,0,0,0,0,1,2
3235,0,0,0,0,1,0,0,0,0,0,1,1
3236,1,0,1,0,1,0,0,0,0,0,1,3
3237,0,0,0,0,0,0,1,1,0,0,2,2
3238,0,0,0,0,0,0,0,0,0,0,0,0
3239,1,0,0,0,1,0,0,0,0,0,1,2
3240,0,0,0,0,1,0,0,0,0,0,1,1
3241,0,0,0,0,1,0,0,0,0,0,1,1
3242,1,0,1,0,0,1,0,0,0,0,1,3
3243,1,0,0,0,0,1,0,1,0,0,2,3
3244,1,0,1,0,1,1,0,1,0,0,3,5
3245,0,0,0,0,0,0,1,0,0,0,1,1
3246,0,0,0,0,0,1,1,0,0,0,2,2
3247,1,0,0,0,0,1,0,0,0,0,1,2
3248,0,0,0,0,0,0,0,0,0,0,0,0
3249,1,0,0,0,0,1,0,0,0,0,1,2
3250,0,0,0,1,0,0,0,0,0,0,0,1
3251,1,0,0,0,1,0,0,1,0,0,2,3
3252,1,0,1,0,0,0,0,0,0,0,0,2
3253,1,0,1,0,0,1,0,1,0,0,2,4
3254,0,0,0,0,0,1,0,0,0,0,1,1
3255,1,0,0,0,1,0,0,0,0,0,1,2
3256,0,0,0,0,1,0,0,0,0,0,1,1
3257,1,0,0,0,1,0,0,0,0,0,1,2
3258,1,1,0,0,0,0,1,0,0,0,1,3
3259,0,0,0,0,0,0,0,0,0,0,0,0
3260,0,0,0,0,0,0,0,0,0,0,0,0
3261,0,0,0,0,0,0,0,1,0,0,1,1
3262,1,0,1,0,0,1,0,1,0,0,2,4
3263,0,0,0,0,1,0,1,0,0,0,2,2
3264,1,0,0,0,0,0,0,1,0,0,1,2
3265,1,0,0,0,1,1,0,0,0,0,2,3
3266,1,0,0,0,0,1,1,0,0,0,2,3
3267,1,0,0,0,1,1,0,0,0,0,2,3
3268,0,0,0,0,0,0,0,0,0,0,0,0
3269,1,0,0,0,0,1,0,0,0,0,1,2
3270,1,0,0,0,0,1,0,0,0,0,1,2
3271,0,0,0,0,0,0,0,0,0,0,0,0
3272,1,0,0,0,1,0,0,0,0,0,1,2
3273,1,0,0,0,0,0,0,0,0,0,0,1
3274,0,0,0,0,0,0,0,0,0,0,0,0
3275,1,0,1,0,1,0,0,0,0,0,1,3
3276,1,0,0,0,1,1,0,1,0,0,3,4
3277,0,0,0,0,0,1,0,0,0,0,1,1
3278,0,0,0,0,0,0,0,0,0,0,0,0
3279,0,0,0,0,1,1,0,0,0,0,2,2
3280,1,0,0,0,1,1,0,0,0,0,2,3
3281,0,0,0,0,0,0,0,0,0,0,0,0
3282,1,0,0,0,1,0,0,1,0,0,2,3
3283,0,0,0,0,0,0,0,0,0,0,0,0
3284,0,0,0,0,0,0,0,0,0,0,0,0
3285,0,0,0,0,0,0,0,0,0,0,0,0
3286,0,0,0,0,0,0,0,0,0,0,0,0
3287,1,0,1,0,0,0,0,0,0,0,0,2
3288,1,0,0,0,1,0,0,0,0,0,1,2
3289,1,0,1,0,0,1,0,0,0,0,1,3
3290,0,0,0,0,1,0,0,1,0,0,2,2
3291,0,0,0,1,0,0,0,0,0,0,0,1
3292,1,0,0,0,0,0,1,0,0,0,1,2
3293,1,0,0,0,1,0,1,1,0,0,3,4
3294,0,0,0,0,1,0,0,0,0,0,1,1
3295,1,0,1,0,0,1,1,0,0,0,2,4
3296,1,0,1,0,1,1,0,0,0,0,2,4
3297,1,0,0,1,0,0,1,1,0,0,2,4
3298,1,0,0,1,0,0,1,0,0,0,1,3
3299,0,0,0,0,1,0,0,0,0,0,1,1
3300,1,0,0,0,0,1,0,1,0,0,2,3
